provenance,reported_in_manuscript,source_document,source_note,paper_table_number,paper_table_label,paper_table_title,dataset,backbone,parameter_scale,main_mrr,main_hits1,inductive_mrr,one_shot_mrr
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-10,tab:llm_backbone_sensitivity,LLM backbone sensitivity on ICEWS14 and ICEWS05-15,ICEWS14,Qwen3-8B,8B,47.36,36.32,32.14,24.43
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-10,tab:llm_backbone_sensitivity,LLM backbone sensitivity on ICEWS14 and ICEWS05-15,ICEWS14,LLaMA-3-8B,8B,47.18,36.05,32.41,24.15
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-10,tab:llm_backbone_sensitivity,LLM backbone sensitivity on ICEWS14 and ICEWS05-15,ICEWS14,Mistral-7B,7B,46.18,34.91,30.61,22.95
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-10,tab:llm_backbone_sensitivity,LLM backbone sensitivity on ICEWS14 and ICEWS05-15,ICEWS14,Qwen2.5-1.5B,1.5B,45.74,34.42,29.78,22.13
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-10,tab:llm_backbone_sensitivity,LLM backbone sensitivity on ICEWS14 and ICEWS05-15,ICEWS14,DeBERTa-v3-large,0.43B,44.51,32.86,28.13,20.81
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-10,tab:llm_backbone_sensitivity,LLM backbone sensitivity on ICEWS14 and ICEWS05-15,ICEWS05-15,Qwen3-8B,8B,49.92,39.86,34.58,26.41
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-10,tab:llm_backbone_sensitivity,LLM backbone sensitivity on ICEWS14 and ICEWS05-15,ICEWS05-15,LLaMA-3-8B,8B,50.07,40.04,34.18,26.04
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-10,tab:llm_backbone_sensitivity,LLM backbone sensitivity on ICEWS14 and ICEWS05-15,ICEWS05-15,Mistral-7B,7B,49.13,38.71,33.21,24.95
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-10,tab:llm_backbone_sensitivity,LLM backbone sensitivity on ICEWS14 and ICEWS05-15,ICEWS05-15,Qwen2.5-1.5B,1.5B,48.43,38.16,32.74,24.32
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-10,tab:llm_backbone_sensitivity,LLM backbone sensitivity on ICEWS14 and ICEWS05-15,ICEWS05-15,DeBERTa-v3-large,0.43B,47.18,36.79,30.74,22.69
