provenance,reported_in_manuscript,source_document,source_note,paper_table_number,paper_table_label,paper_table_title,dataset,category,model,MRR,MRR_std,Hits@1,Hits@1_std,Hits@3,Hits@3_std,Hits@10,Hits@10_std
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-3,tab:lmcatic_main_results,Main performance comparison on ICEWS14 and ICEWS05-15,ICEWS14,Static,DistMult,39.28,0.24,28.47,0.31,44.36,0.28,61.91,0.35
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-3,tab:lmcatic_main_results,Main performance comparison on ICEWS14 and ICEWS05-15,ICEWS14,Static,ComplEx,39.94,0.19,28.83,0.27,44.87,0.31,62.33,0.29
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-3,tab:lmcatic_main_results,Main performance comparison on ICEWS14 and ICEWS05-15,ICEWS14,Temporal,RE-GCN,37.82,0.31,27.16,0.28,42.57,0.35,58.73,0.42
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-3,tab:lmcatic_main_results,Main performance comparison on ICEWS14 and ICEWS05-15,ICEWS14,Temporal,CENET,40.43,0.18,30.38,0.25,45.29,0.22,60.41,0.31
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-3,tab:lmcatic_main_results,Main performance comparison on ICEWS14 and ICEWS05-15,ICEWS14,Temporal,TPAR,41.37,0.15,31.24,0.21,46.58,0.19,62.76,0.27
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-3,tab:lmcatic_main_results,Main performance comparison on ICEWS14 and ICEWS05-15,ICEWS14,Inductive+Semantic,GLTW,41.92,0.26,31.79,0.33,47.31,0.29,64.18,0.37
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-3,tab:lmcatic_main_results,Main performance comparison on ICEWS14 and ICEWS05-15,ICEWS14,Inductive+Semantic,RAA-KGC,44.71,0.16,33.86,0.22,50.27,0.19,67.41,0.25
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-3,tab:lmcatic_main_results,Main performance comparison on ICEWS14 and ICEWS05-15,ICEWS14,Inductive+Semantic,POSTRA,45.63,0.19,34.74,0.24,51.22,0.21,68.57,0.21
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-3,tab:lmcatic_main_results,Main performance comparison on ICEWS14 and ICEWS05-15,ICEWS14,Ours,LMCA-TIC,47.36,0.18,36.32,0.22,53.48,0.17,69.81,0.27
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-3,tab:lmcatic_main_results,Main performance comparison on ICEWS14 and ICEWS05-15,ICEWS05-15,Static,DistMult,40.54,0.21,30.08,0.28,45.79,0.33,63.42,0.38
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-3,tab:lmcatic_main_results,Main performance comparison on ICEWS14 and ICEWS05-15,ICEWS05-15,Static,ComplEx,39.71,0.23,28.52,0.34,44.61,0.26,62.57,0.41
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-3,tab:lmcatic_main_results,Main performance comparison on ICEWS14 and ICEWS05-15,ICEWS05-15,Temporal,RE-GCN,38.11,0.27,27.41,0.33,42.98,0.29,59.84,0.37
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-3,tab:lmcatic_main_results,Main performance comparison on ICEWS14 and ICEWS05-15,ICEWS05-15,Temporal,CENET,40.76,0.22,31.46,0.29,45.91,0.27,61.37,0.34
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-3,tab:lmcatic_main_results,Main performance comparison on ICEWS14 and ICEWS05-15,ICEWS05-15,Temporal,TPAR,42.04,0.19,31.97,0.24,47.08,0.23,63.66,0.3
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-3,tab:lmcatic_main_results,Main performance comparison on ICEWS14 and ICEWS05-15,ICEWS05-15,Inductive+Semantic,GLTW,42.67,0.24,32.58,0.3,47.95,0.25,65.04,0.31
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-3,tab:lmcatic_main_results,Main performance comparison on ICEWS14 and ICEWS05-15,ICEWS05-15,Inductive+Semantic,RAA-KGC,46.85,0.17,37.34,0.22,52.76,0.19,69.82,0.24
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-3,tab:lmcatic_main_results,Main performance comparison on ICEWS14 and ICEWS05-15,ICEWS05-15,Inductive+Semantic,POSTRA,48.66,0.2,39.43,0.23,54.91,0.17,72.24,0.21
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-3,tab:lmcatic_main_results,Main performance comparison on ICEWS14 and ICEWS05-15,ICEWS05-15,Ours,LMCA-TIC,49.92,0.16,39.86,0.21,56.13,0.18,73.47,0.25
