provenance,reported_in_manuscript,source_document,source_note,paper_table_number,paper_table_label,paper_table_title,dataset,metric,model,ratio_20,ratio_20_std,ratio_40,ratio_40_std,ratio_60,ratio_60_std,ratio_80,ratio_80_std,ratio_100,ratio_100_std
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-6,tab:train_scale_sensitivity,Training-scale sensitivity on ICEWS14,ICEWS14,MRR,RE-GCN,23.62,1.21,29.18,0.84,32.41,0.67,35.51,0.39,37.82,0.31
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-6,tab:train_scale_sensitivity,Training-scale sensitivity on ICEWS14,ICEWS14,MRR,POSTRA,32.34,0.91,36.12,0.68,40.05,0.42,42.76,0.36,45.63,0.19
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-6,tab:train_scale_sensitivity,Training-scale sensitivity on ICEWS14,ICEWS14,MRR,RAA-KGC,31.41,1.04,35.62,0.69,40.21,0.51,42.31,0.55,44.71,0.16
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-6,tab:train_scale_sensitivity,Training-scale sensitivity on ICEWS14,ICEWS14,MRR,LMCA-TIC,34.62,0.83,38.41,0.61,42.27,0.36,44.78,0.27,47.36,0.18
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-6,tab:train_scale_sensitivity,Training-scale sensitivity on ICEWS14,ICEWS14,Hits@1,RE-GCN,16.18,1.41,20.13,0.88,22.51,0.71,25.34,0.39,27.16,0.28
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-6,tab:train_scale_sensitivity,Training-scale sensitivity on ICEWS14,ICEWS14,Hits@1,POSTRA,23.81,1.17,27.04,0.74,30.18,0.41,33.42,0.49,34.74,0.24
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-6,tab:train_scale_sensitivity,Training-scale sensitivity on ICEWS14,ICEWS14,Hits@1,RAA-KGC,22.51,1.13,26.31,0.91,30.42,0.53,32.41,0.36,33.86,0.22
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-6,tab:train_scale_sensitivity,Training-scale sensitivity on ICEWS14,ICEWS14,Hits@1,LMCA-TIC,24.62,0.94,28.91,0.73,32.18,0.42,34.84,0.31,36.32,0.22
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-6,tab:train_scale_sensitivity,Training-scale sensitivity on ICEWS14,ICEWS14,Hits@10,RE-GCN,38.51,1.51,45.18,1.13,49.42,0.69,54.51,0.57,58.73,0.42
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-6,tab:train_scale_sensitivity,Training-scale sensitivity on ICEWS14,ICEWS14,Hits@10,POSTRA,50.62,1.24,55.61,0.78,60.18,0.61,64.71,0.33,68.57,0.21
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-6,tab:train_scale_sensitivity,Training-scale sensitivity on ICEWS14,ICEWS14,Hits@10,RAA-KGC,48.71,1.31,54.62,0.84,60.21,0.59,63.84,0.46,67.41,0.25
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-6,tab:train_scale_sensitivity,Training-scale sensitivity on ICEWS14,ICEWS14,Hits@10,LMCA-TIC,52.41,1.06,57.61,0.81,62.34,0.49,66.78,0.34,69.81,0.27
