provenance,reported_in_manuscript,source_document,source_note,paper_table_number,paper_table_label,paper_table_title,dataset,subset,metric,model,length_1,length_1_std,length_3,length_3_std,length_5,length_5_std,length_7,length_7_std,length_10,length_10_std
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-7,tab:chain_length_sensitivity,Continuous history-chain sensitivity on ICEWS14,ICEWS14,filtered_history_chain,MRR,RE-GCN,27.94,1.31,31.83,0.91,34.06,0.64,35.47,0.45,36.72,0.33
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-7,tab:chain_length_sensitivity,Continuous history-chain sensitivity on ICEWS14,ICEWS14,filtered_history_chain,MRR,POSTRA,35.18,1.08,38.94,0.73,41.56,0.51,43.31,0.36,44.86,0.24
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-7,tab:chain_length_sensitivity,Continuous history-chain sensitivity on ICEWS14,ICEWS14,filtered_history_chain,MRR,RAA-KGC,34.37,1.14,38.16,0.78,40.73,0.55,42.64,0.39,44.28,0.27
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-7,tab:chain_length_sensitivity,Continuous history-chain sensitivity on ICEWS14,ICEWS14,filtered_history_chain,MRR,LMCA-TIC,36.85,0.97,40.52,0.66,43.21,0.43,45.08,0.26,46.92,0.14
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-7,tab:chain_length_sensitivity,Continuous history-chain sensitivity on ICEWS14,ICEWS14,filtered_history_chain,Hits@1,RE-GCN,19.62,1.48,22.87,1.03,24.93,0.72,26.05,0.51,26.83,0.38
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-7,tab:chain_length_sensitivity,Continuous history-chain sensitivity on ICEWS14,ICEWS14,filtered_history_chain,Hits@1,POSTRA,25.83,1.21,29.47,0.82,31.76,0.58,33.24,0.41,34.52,0.29
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-7,tab:chain_length_sensitivity,Continuous history-chain sensitivity on ICEWS14,ICEWS14,filtered_history_chain,Hits@1,RAA-KGC,24.96,1.27,28.73,0.87,30.95,0.62,32.47,0.44,33.81,0.31
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-7,tab:chain_length_sensitivity,Continuous history-chain sensitivity on ICEWS14,ICEWS14,filtered_history_chain,Hits@1,LMCA-TIC,27.14,1.08,30.86,0.74,33.28,0.49,35.06,0.31,36.17,0.18
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-7,tab:chain_length_sensitivity,Continuous history-chain sensitivity on ICEWS14,ICEWS14,filtered_history_chain,Hits@10,RE-GCN,44.63,1.52,49.87,1.07,53.16,0.76,55.82,0.54,57.46,0.41
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-7,tab:chain_length_sensitivity,Continuous history-chain sensitivity on ICEWS14,ICEWS14,filtered_history_chain,Hits@10,POSTRA,53.94,1.26,58.72,0.88,62.15,0.63,65.08,0.47,67.83,0.32
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-7,tab:chain_length_sensitivity,Continuous history-chain sensitivity on ICEWS14,ICEWS14,filtered_history_chain,Hits@10,RAA-KGC,52.47,1.34,57.36,0.93,60.78,0.67,63.52,0.49,66.24,0.36
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-7,tab:chain_length_sensitivity,Continuous history-chain sensitivity on ICEWS14,ICEWS14,filtered_history_chain,Hits@10,LMCA-TIC,55.31,1.12,59.86,0.78,63.74,0.52,66.93,0.34,69.52,0.21
