Model,Dataset,MRR,Hits@1,Hits@3,Hits@10,Category
DistMult,ICEWS14,39.28,28.47,44.36,61.91,Static
ComplEx,ICEWS14,39.94,28.83,44.87,62.33,Static
RE-GCN,ICEWS14,37.82,27.16,42.57,58.73,Temporal
CENET,ICEWS14,40.43,30.38,45.29,60.41,Temporal
TPAR,ICEWS14,41.37,31.24,46.58,62.76,Temporal
GLTW,ICEWS14,41.92,31.79,47.31,64.18,LLM-Inductive
RAA-KGC,ICEWS14,44.71,33.86,50.27,67.41,LLM-Inductive
POSTRA,ICEWS14,45.63,34.74,51.22,68.57,Inductive
LMCA-TIC,ICEWS14,47.36,36.32,53.48,69.81,Ours
DistMult,ICEWS05-15,40.54,30.08,45.79,63.42,Static
ComplEx,ICEWS05-15,39.71,28.52,44.61,62.57,Static
RE-GCN,ICEWS05-15,38.11,27.41,42.98,59.84,Temporal
CENET,ICEWS05-15,40.76,31.46,45.91,61.37,Temporal
TPAR,ICEWS05-15,42.04,31.97,47.08,63.66,Temporal
GLTW,ICEWS05-15,42.67,32.58,47.95,65.04,LLM-Inductive
RAA-KGC,ICEWS05-15,46.85,37.34,52.76,69.82,LLM-Inductive
POSTRA,ICEWS05-15,48.66,39.43,54.91,72.24,Inductive
LMCA-TIC,ICEWS05-15,49.92,39.86,56.13,73.47,Ours
